order_id,client_id,provider,order_type,asset_symbol,quantity,unit_price,order_date
ORD-00001,CLI-1001,provider-a,BUY,AAPL,10,187.45,2026-05-22
ORD-00002,CLI-1002,provider-a,SELL,MSFT,5,412.30,2026-05-22
ORD-00003,CLI-1003,provider-a,BUY,GOOGL,8,165.10,2026-05-22
ORD-00004,CLI-1004,provider-a,BUY,AMZN,3,182.75,2026-05-22
ORD-00005,CLI-1001,provider-a,SELL,TSLA,2,245.90,2026-05-22
ORD-00006,CLI-1005,provider-a,BUY,NVDA,15,925.40,2026-05-22
ORD-00007,CLI-1006,provider-a,BUY,META,7,498.25,2026-05-22
ORD-00008,CLI-1002,provider-a,SELL,AAPL,4,188.10,2026-05-22
ORD-00009,CLI-1007,provider-a,BUY,NFLX,6,655.00,2026-05-22
ORD-00010,CLI-1008,provider-a,SELL,GOOGL,12,164.80,2026-05-22
ORD-00011,CLI-1009,provider-a,BUY,AMD,20,168.50,2026-05-22
ORD-00012,CLI-1003,provider-a,SELL,MSFT,9,411.95,2026-05-22
ORD-00013,CLI-1010,provider-a,BUY,INTC,50,30.25,2026-05-22
ORD-00014,CLI-1004,provider-a,BUY,AAPL,2,187.80,2026-05-22
ORD-00015,CLI-1011,provider-a,SELL,TSLA,1,246.05,2026-05-22
